title,link,pub_date,category,creator,description,content_html,contents_p,image,comments,guid
"감독 교체에도.. '선발 NO→황희찬 교체 출전' 울버햄튼, 또또또또또또또 EPL 첫승 불발! 노팅엄에 0-1 패",https://www.chosun.com/sports/world-football/2025/12/04/GBTDQNJUMIYDIYZTMU2WGNTBGY/,"Thu, 04 Dec 2025 01:02:00 +0000",,OSEN,"[OSEN=노진주 기자] 황희찬(29, 울버햄튼)이 교체 출전한 가운데, 팀은 패배를 피하지 못했다.울버햄튼은 4일(한국시간) 영국 버밍엄 몰리뉴 스타디움에서 열린 2025-2026 프리미어리그 14라운드 홈 경기에서 노팅엄 포레스트에 0-1로 패했다.이날 결과로 울버햄튼은 2무 12패(승점 2)를 기록, 리그 최하위 20위에 머물러 있다. 리그 7연패. ","<img src=""https://www.chosun.com/resizer/v2/GYZTCZBSGZSTKZDFGAZGIODCMM.jpg?auth=4c1e612769e23f577e15c06e4aedd54e1371050bf53fe92b968538793aa33410&smart=true&width=594&height=424"" alt="""" height=""424"" width=""594""/><p>[OSEN=노진주 기자] 황희찬(29, 울버햄튼)이 교체 출전한 가운데, 팀은 패배를 피하지 못했다.</p>","[OSEN=노진주 기자] 황희찬(29, 울버햄튼)이 교체 출전한 가운데, 팀은 패배를 피하지 못했다.",https://www.chosun.com/resizer/v2/GYZTCZBSGZSTKZDFGAZGIODCMM.jpg?auth=4c1e612769e23f577e15c06e4aedd54e1371050bf53fe92b968538793aa33410&smart=true&width=594&height=424,,https://www.chosun.com/sports/world-football/2025/12/04/GBTDQNJUMIYDIYZTMU2WGNTBGY/
美국무부 선임 부차관보 “한국과 협력해 대만해협 등서 평화·안정 수호”,https://www.chosun.com/international/us/2025/12/04/H7S5HG4BMJEWXFY26XRMB66AJM/,"Wed, 03 Dec 2025 15:00:57 +0000",,워싱턴=김은중 특파원,,"<img src=""https://www.chosun.com/resizer/v2/ZBDRGXRL4VEX7GJCJJCKRJJTWY.jpg?auth=2d4a7773ba227a4672e3133dc278429bc676b0ebd6cdd67d90f988732db9b66b&smart=true&width=858&height=564"" alt=""조너선 프리츠 미 국무부 동아태 선임 부차관보가 3일 한국국제교류재단(KF)과 전략국제문제연구소(CSIS)가 주최한 제10차 'KF-CSIS 한미전략포럼'에 참석해 기조 연설을 하고 있다. /CSIS"" height=""564"" width=""858""/><p>조너선 프리츠 미 국무부 동아시아·태평양 담당 선임 부차관보는 3일 “우리는 한국과 인도·태평양 지역의 다른 파트너들과 협력해 국제 해양법과 평화·안정을 수호할 것”이라며 “이는 대만해협과 남중국해, 또는 그 너머 이 지역 다른 곳에서도 마찬가지”라고 했다. 프리츠는 한미가 지난달 발표한 팩트시트(factsheet·설명 자료)와 관련해 “핵심 산업 재건, 상업적 유대 강화, 한반도와 더 넓은 지역에 대한 협력 등을 망라하고 있다”며 “한국은 미국의 재산업화 추진에 있어 절대적으로 핵심적인 역할을 하고 있다”고 했다.</p>","조너선 프리츠 미 국무부 동아시아·태평양 담당 선임 부차관보는 3일 “우리는 한국과 인도·태평양 지역의 다른 파트너들과 협력해 국제 해양법과 평화·안정을 수호할 것”이라며 “이는 대만해협과 남중국해, 또는 그 너머 이 지역 다른 곳에서도 마찬가지”라고 했다. 프리츠는 한미가 지난달 발표한 팩트시트(factsheet·설명 자료)와 관련해 “핵심 산업 재건, 상업적 유대 강화, 한반도와 더 넓은 지역에 대한 협력 등을 망라하고 있다”며 “한국은 미국의 재산업화 추진에 있어 절대적으로 핵심적인 역할을 하고 있다”고 했다.",,,https://www.chosun.com/international/us/2025/12/04/H7S5HG4BMJEWXFY26XRMB66AJM/
"유니콘 기업, 韓 2개 늘어 13개… 美는 229개 늘어 717개 압도적",https://www.chosun.com/economy/industry-company/2025/12/04/OAQL6WLU2VHKBCWAH4GJ67L45I/,"Wed, 03 Dec 2025 15:32:00 +0000",,한예나 기자,,"<p>한국의 유니콘 기업 보유 수가 13개로 세계 11위에 머물렀다. 유니콘 기업은 기업 가치가 10억달러 이상인 비상장 기업으로, 혁신 성장의 척도로 평가받는다. 유니콘 기업 배출이 주요국보다 크게 뒤처지면서 한국 스타트업 생태계 전반의 활력이 떨어지고 있다는 지적이 나온다.</p><img src=""https://www.chosun.com/resizer/v2/P5752H2IIRG3DCSH6J26IMCQUA.png?auth=062add6c4b02edb413fbddb0dca040c253fcde52a1e12425c466c2ede0496282&smart=true&width=480&height=590"" alt=""그래픽=조선디자인랩 이연주"" height=""590"" width=""480""/>","한국의 유니콘 기업 보유 수가 13개로 세계 11위에 머물렀다. 유니콘 기업은 기업 가치가 10억달러 이상인 비상장 기업으로, 혁신 성장의 척도로 평가받는다. 유니콘 기업 배출이 주요국보다 크게 뒤처지면서 한국 스타트업 생태계 전반의 활력이 떨어지고 있다는 지적이 나온다.",,,https://www.chosun.com/economy/industry-company/2025/12/04/OAQL6WLU2VHKBCWAH4GJ67L45I/
[특징주] 9.7 공급 대책 가속화 기대감에…건설株 급등,https://www.chosun.com/economy/stock-finance/2025/12/04/MJRDAMBQHFRDMOLGGNRDIODDHA/,"Thu, 04 Dec 2025 01:00:06 +0000",,김정은 기자(조선비즈),중소형 건설주들이 4일 급등했다. 김이탁 신임 국토교통부 1차관이 “9·7 공급 대책의 후속 조치를 속도감 있게 이행하겠다”고 밝히면서 투자 심리를 자극한 것으로 분석된다.  이날 오전 9시 54분 기준 코스닥 시장에서 상지건설은 가격제한폭(29.99%)까지 뛰며 9840원에 거래되고 있다. 같은 시각 동신건설과 일신건설도 전 거래일 대비 각각 25.63%,"<p>중소형 건설주들이 4일 급등했다. 김이탁 신임 국토교통부 1차관이 “9·7 공급 대책의 후속 조치를 속도감 있게 이행하겠다”고 밝히면서 투자 심리를 자극한 것으로 분석된다.</p><img src=""https://www.chosun.com/resizer/v2/MJSTCZBVGBSDSNRUME2TEZTGGQ.jpg?auth=906d7acaf832b3e56f244caec35f580dc056f27a9ba66f8ffaf2f56d08213b68&smart=true&width=4693&height=3129"" alt=""김이탁 신임 국토교통부 1차관이 지난 2일 오전 정부세종청사에서 열린 취임식에서 선서를 하고 있다. /국토교통부 제공"" height=""3129"" width=""4693""/>",중소형 건설주들이 4일 급등했다. 김이탁 신임 국토교통부 1차관이 “9·7 공급 대책의 후속 조치를 속도감 있게 이행하겠다”고 밝히면서 투자 심리를 자극한 것으로 분석된다.,https://www.chosun.com/resizer/v2/MJSTCZBVGBSDSNRUME2TEZTGGQ.jpg?auth=906d7acaf832b3e56f244caec35f580dc056f27a9ba66f8ffaf2f56d08213b68&smart=true&width=4693&height=3129,,https://www.chosun.com/economy/stock-finance/2025/12/04/MJRDAMBQHFRDMOLGGNRDIODDHA/
주택금융·무역보험공사도 새도약기금에 연체 채권 매각,https://www.chosun.com/economy/stock-finance/2025/12/04/MU4TAYRUMY2TKMRZMU2TEYZVHE/,"Thu, 04 Dec 2025 01:00:00 +0000",,송기영 기자(조선비즈),"이재명 정부의 핵심 정책 중 하나인 새도약기금에 주택금융공사(주금공)와 무역보험공사(무보)도 연체 채권을 매각한다. 새도약기금은 금융위원회와 한국자산관리공사(캠코)가 공동으로 추진하는 장기 연체자 재기 지원 프로그램으로, 금융권이 보유한 7년 이상·5000만원 이하 무담보 연체 채권을 싸게 매입한다. 4일 금융권에 따르면 주금공과 무보는 새도약기금 협약에 ","<p>이재명 정부의 핵심 정책 중 하나인 새도약기금에 주택금융공사(주금공)와 무역보험공사(무보)도 연체 채권을 매각한다. 새도약기금은 금융위원회와 한국자산관리공사(캠코)가 공동으로 추진하는 장기 연체자 재기 지원 프로그램으로, 금융권이 보유한 7년 이상·5000만원 이하 무담보 연체 채권을 싸게 매입한다.</p><p>4일 금융권에 따르면 주금공과 무보는 새도약기금 협약에 가입하고 이달 중 채권 매각을 진행할 계획이다. 이들 기관은 당초 새도약기금 협약 기관에 포함되지 않았었다. 정책금융기관 중에는 신용보증기금과 기술보증기금이 최근 협약 가입을 완료하고 채권 매각 협의를 진행 중인 것으로 전해졌다.</p>","이재명 정부의 핵심 정책 중 하나인 새도약기금에 주택금융공사(주금공)와 무역보험공사(무보)도 연체 채권을 매각한다. 새도약기금은 금융위원회와 한국자산관리공사(캠코)가 공동으로 추진하는 장기 연체자 재기 지원 프로그램으로, 금융권이 보유한 7년 이상·5000만원 이하 무담보 연체 채권을 싸게 매입한다.",https://www.chosun.com/resizer/v2/G43DENJZME3TSNBWMFRWINBVGA.jpg?auth=b6bfebd4d72005962fdf6a0cdc4a93bad138d648de6fbd34868070732220ff19&smart=true&width=5000&height=3247,,https://www.chosun.com/economy/stock-finance/2025/12/04/MU4TAYRUMY2TKMRZMU2TEYZVHE/
"키키 수이, 데뷔 9개월만 'ACON 2025' MC 출격..글로벌 무대 활약",https://www.chosun.com/entertainments/music/2025/12/04/GFRTIMZQMU4WGYRUGRSDQNJZME/,"Thu, 04 Dec 2025 01:00:00 +0000",,OSEN,"[OSEN=선미경 기자] 그룹 키키(KiiiKiii)의 수이가 글로벌 무대의 MC로 출격한다.4일 시상식 '아시아 아티스트 어워즈(Asia Artist Awards, 이하 'AAA')'에 따르면, 수이는 오는 7일 가오슝 내셔널 스타디움에서 열리는 10주년 AAA 페스타 'ACON 2025' MC로 발탁됐다. 이는 수이의 첫 글로벌 무대 MC 도전으로, 정","<img src=""https://www.chosun.com/resizer/v2/HBTGKM3EGQ4TMZLEGAZTAZJSGY.jpg?auth=4bfe03f45f26c1be452a3772f4632055ad05e60457b6df2fa7222467a0403049&smart=true&width=650&height=433"" alt="""" height=""433"" width=""650""/><p>[OSEN=선미경 기자] 그룹 키키(KiiiKiii)의 수이가 글로벌 무대의 MC로 출격한다.</p>",[OSEN=선미경 기자] 그룹 키키(KiiiKiii)의 수이가 글로벌 무대의 MC로 출격한다.,https://www.chosun.com/resizer/v2/HBTGKM3EGQ4TMZLEGAZTAZJSGY.jpg?auth=4bfe03f45f26c1be452a3772f4632055ad05e60457b6df2fa7222467a0403049&smart=true&width=650&height=433,,https://www.chosun.com/entertainments/music/2025/12/04/GFRTIMZQMU4WGYRUGRSDQNJZME/
"금감원, 해외 부동산 펀드 집중심사제 도입… 실사 보고서 첨부 의무화",https://www.chosun.com/economy/stock-finance/2025/12/04/GIZGINZXMM2TSOJUMIZWENDGGA/,"Thu, 04 Dec 2025 01:00:00 +0000",,강정아 기자(조선비즈), 금융감독원이 해외 부동산 펀드 상품 설계 과정부터 빈틈없는 심사 체계 가동을 위해 해외 부동산 펀드 집중 심사제를 도입한다고 밝혔다. 금감원은 4일 해외 부동산펀드를 주로 취급하는 6개 자산운용사 대표이사 및 금융투자협회 담당 본부장과 여의도 본원에서 간담회를 열고 이같은 내용을 논의했다고 밝혔다. 먼저 최근 실시한 설계·제조 단계 내부통제 체계 점검 결,"<img src=""https://www.chosun.com/resizer/v2/GMZGEZBRHBRDQNRRMFRTOZDCME.jpg?auth=63591c65de48f8d91119ba078dd788d45b11f5b2f52d331eca59d262d325fec6&smart=true&width=5000&height=3333"" alt=""서울 여의도 금융감독원 모습. /뉴스1"" height=""3333"" width=""5000""/><p>금융감독원이 해외 부동산 펀드 상품 설계 과정부터 빈틈없는 심사 체계 가동을 위해 해외 부동산 펀드 집중 심사제를 도입한다고 밝혔다.</p>",금융감독원이 해외 부동산 펀드 상품 설계 과정부터 빈틈없는 심사 체계 가동을 위해 해외 부동산 펀드 집중 심사제를 도입한다고 밝혔다.,https://www.chosun.com/resizer/v2/GMZGEZBRHBRDQNRRMFRTOZDCME.jpg?auth=63591c65de48f8d91119ba078dd788d45b11f5b2f52d331eca59d262d325fec6&smart=true&width=5000&height=3333,,https://www.chosun.com/economy/stock-finance/2025/12/04/GIZGINZXMM2TSOJUMIZWENDGGA/
SK 보령LNG터미널 인수금융 재매각 ‘불티’... “물량 없어서 못판다”,https://www.chosun.com/economy/stock-finance/2025/12/04/GJRDEOBQGIZDAMDCMQYDOZJXHA/,"Thu, 04 Dec 2025 01:00:00 +0000",,노자운 기자(조선비즈)," 이 기사는 2025년 12월 3일 17시 44분 조선비즈 머니무브(MM) 사이트에 표출됐습니다. SK이노베이션의 보령 액화천연가스(LNG)터미널 지분 50% 인수를 위해 대주단이 인수금융 셀다운(인수 후 재매각)에 나선 가운데, 수요가 몰리며 물량이 순식간에 소진된 것으로 전해졌다. 이번 인수금융 셀다운이 흥행에 성공한 것은 그만큼 기관들이 보령 LNG터","<img src=""https://www.chosun.com/resizer/v2/BIWPCS4SLLWM5MIFFSLWSTVMBM.png?auth=9e8223faee6a8907ebecf3c6858dfb3485e857f8a14969b34ec9136efd911ece&smart=true&width=1080&height=1100"" alt=""SK이노베이션 보령 LNG터미널. /SK이노베이션 E&S 제공"" height=""1100"" width=""1080""/><p><b>이 기사는 2025년 12월 3일 17시 44분 조선비즈 머니무브(MM) 사이트에 표출됐습니다.</b></p>",이 기사는 2025년 12월 3일 17시 44분 조선비즈 머니무브(MM) 사이트에 표출됐습니다.,https://www.chosun.com/resizer/v2/BIWPCS4SLLWM5MIFFSLWSTVMBM.png?auth=9e8223faee6a8907ebecf3c6858dfb3485e857f8a14969b34ec9136efd911ece&smart=true&width=1080&height=1100,,https://www.chosun.com/economy/stock-finance/2025/12/04/GJRDEOBQGIZDAMDCMQYDOZJXHA/
연말 몰린 스팩(SPAC)주 신규상장… “주가 변동성 커 투자자 유의 필요”,https://www.chosun.com/economy/money/2025/12/04/QDGRTPWD7VDTTIPTNNJ7GGAFXE/,"Thu, 04 Dec 2025 00:02:46 +0000",,유재인 기자,,"<img src=""https://www.chosun.com/resizer/v2/ME4TCZBQGE4TIOLDMY2TGNBZGI.jpg?auth=632ab1803b171e5b52c76926fb416ec7fc1d646295b392940a60c6d0139ac5b9&smart=true&width=3961&height=2718"" alt=""3일 서울 중구 하나은행 본점 딜링룸 전광판에 증시 종가가 표시되고 있다. 이날 코스피 지수는 전 거래일 대비 41.37p(1.04%) 상승한 4036.30로 장을 마감했다. 2025.12.3/뉴스1 ⓒ News1 이호윤 기자"" height=""2718"" width=""3961""/><p>이달 들어 신규 상장된 스팩(SPAC)주들에 대한 관심이 이어지고 있다. 스팩은 비상장 기업의 상장을 돕기 위해 설립되는 합병 전용 상장회사를 뜻한다. </p>",이달 들어 신규 상장된 스팩(SPAC)주들에 대한 관심이 이어지고 있다. 스팩은 비상장 기업의 상장을 돕기 위해 설립되는 합병 전용 상장회사를 뜻한다.,,,https://www.chosun.com/economy/money/2025/12/04/QDGRTPWD7VDTTIPTNNJ7GGAFXE/
"돌아온 외국인, 이달 코스피 사흘 연속 순매수… 추세 전환은 브로드컴 실적이 변수",https://www.chosun.com/economy/money/2025/12/04/534IHH2YSNBMHCCD24GSE45WDM/,"Thu, 04 Dec 2025 00:00:39 +0000",,안중현 기자,,"<img src=""https://www.chosun.com/resizer/v2/ME4TCZBQGE4TIOLDMY2TGNBZGI.jpg?auth=632ab1803b171e5b52c76926fb416ec7fc1d646295b392940a60c6d0139ac5b9&smart=true&width=3961&height=2718"" alt=""3일 서울 중구 하나은행 본점 딜링룸 전광판에 증시 종가가 표시되고 있다. 이날 코스피 지수는 전 거래일 대비 41.37p(1.04%) 상승한 4036.30로 장을 마감했다. /뉴스1"" height=""2718"" width=""3961""/><p>이달 들어 외국인 투자자가 유가증권시장에서 완연한 ‘매수 모드’로 돌아서며 연말 랠리에 대한 기대감이 커지고 있다. 지난달 유가증권시장에서 14조원 넘게 국내 주식을 팔아치우며 시장을 짓눌렀던 외국인이 이달 들어 3거래일 연속 순매수(매수가 매도보다 많은 것)를 기록하면서 코스피가 4000선을 회복하는 등 투자심리도 살아나는 분위기다. 반도체 등 주도 업종이 대거 조정을 받으며 가격 매력이 부각된 데다 인공지능(AI) ‘거품’ 우려 완화와 환율 변동성 축소가 외국인 매수세의 배경으로 지목된다.</p>",이달 들어 외국인 투자자가 유가증권시장에서 완연한 ‘매수 모드’로 돌아서며 연말 랠리에 대한 기대감이 커지고 있다. 지난달 유가증권시장에서 14조원 넘게 국내 주식을 팔아치우며 시장을 짓눌렀던 외국인이 이달 들어 3거래일 연속 순매수(매수가 매도보다 많은 것)를 기록하면서 코스피가 4000선을 회복하는 등 투자심리도 살아나는 분위기다. 반도체 등 주도 업종이 대거 조정을 받으며 가격 매력이 부각된 데다 인공지능(AI) ‘거품’ 우려 완화와 환율 변동성 축소가 외국인 매수세의 배경으로 지목된다.,,,https://www.chosun.com/economy/money/2025/12/04/534IHH2YSNBMHCCD24GSE45WDM/
“날 닮아 아토피 타고난 아들에 심장 덜컥” 보습크림 손수 개발한 소아과 의사,https://www.chosun.com/economy/startup_story/2025/10/30/SJYTKLGMGREEVCHKTSOVYEHTGE/,"Wed, 29 Oct 2025 20:35:00 +0000",,"이영지 더비비드 기자, 박유연 기자",,"<img src=""https://www.chosun.com/resizer/v2/VI7VC4NPPBARLJZTPPFY7C4WBY.JPG?auth=4dc53f68e4f0866786b77bf3b43d0da121e77653746073b3ef73fd3fcc282bf0&smart=true&width=5452&height=3452"" alt=""딜라이트코스메틱 김정은 대표. /더비비드"" height=""3452"" width=""5452""/><p>아토피 피부염은 가장 흔한 염증성 피부 질환이다. 지독한 가려움증으로 인해 고통을 겪고, 발진이 일어난 부위를 긁다가 상처나 흉터가 생기기도 한다. 아토피 피부염의 정확한 원인은 밝혀지지 않았지만 가족력이 크게 작용하는 것으로 알려져 있다. 전문가들은 아토피 피부염 환자의 70~80%가 가족력이 있다고 분석한다.</p>","아토피 피부염은 가장 흔한 염증성 피부 질환이다. 지독한 가려움증으로 인해 고통을 겪고, 발진이 일어난 부위를 긁다가 상처나 흉터가 생기기도 한다. 아토피 피부염의 정확한 원인은 밝혀지지 않았지만 가족력이 크게 작용하는 것으로 알려져 있다. 전문가들은 아토피 피부염 환자의 70~80%가 가족력이 있다고 분석한다.",https://www.chosun.com/resizer/v2/VI7VC4NPPBARLJZTPPFY7C4WBY.JPG?auth=4dc53f68e4f0866786b77bf3b43d0da121e77653746073b3ef73fd3fcc282bf0&smart=true&width=5452&height=3452,,https://www.chosun.com/economy/startup_story/2025/10/30/SJYTKLGMGREEVCHKTSOVYEHTGE/
"北 “무상 보육시설·양로원, 사회주의 우리 조국에만 있어” 주장",https://www.chosun.com/politics/north_korea/2025/12/04/PZ2JMJW27RC63M5GAAKNZRMVXM/,"Wed, 03 Dec 2025 23:53:22 +0000",,김경필 기자,,"<img src=""https://www.chosun.com/resizer/v2/IQYNXLXE2ZPOHAZXLLJ42HGUZQ.JPG?auth=0fa6b6434caab7d513d95340bc6a23e4a777d10dd772de8c1d93273284b9cf73&smart=true&width=780&height=467"" alt=""북한 노동당 기관지 노동신문은 4일 “전국 각지에 멋들어지게 솟아난 육아원, 애육원, 초등학원, 중등학원, 양로원들도 모든 인민들이 무탈하여 편안하고 화목하게 살아가는 공산주의 사회를 하루빨리 건설하기 위해 천만품을 들이는 우리 당의 위대한 손길이 낳은 세상에 둘도 없는 재부들”이라고 보도했다. /노동신문 뉴스1"" height=""467"" width=""780""/><p>북한 노동당 기관지 노동신문이 “당과 국가가 육아원, 애육원(보육원), 초등·중등학원의 원아들과 양로원의 연로자들을 전적으로 맡아 책임지고 보살피며 온갖 정성을 기울여 떠받드는 나라는 사회주의 우리 조국뿐”이라고 주장했다.</p>","북한 노동당 기관지 노동신문이 “당과 국가가 육아원, 애육원(보육원), 초등·중등학원의 원아들과 양로원의 연로자들을 전적으로 맡아 책임지고 보살피며 온갖 정성을 기울여 떠받드는 나라는 사회주의 우리 조국뿐”이라고 주장했다.",,,https://www.chosun.com/politics/north_korea/2025/12/04/PZ2JMJW27RC63M5GAAKNZRMVXM/
"교육 예산의 28%를 삼키는 교사 연금… 프랑스, 신규 임용 어려워",https://www.chosun.com/opinion/specialist_column/2025/12/03/YHME4NMH4RGOFDVL7JMN7JYI6I/,"Wed, 03 Dec 2025 14:46:00 +0000",,조귀동 경제칼럼니스트,,"<p>프랑스 북서부 도시 캉에서 고교에 다니는 리디 비주아른씨의 딸은 올해 독학으로 프랑스어 시험을 준비해야 했다. 담당 교사가 지난해 11월 휴직했는데, 계약직 교사가 2월 말에야 부임했기 때문이다. 비주아른씨는 일간 르몽드에 “다른 학생들이 10번 넘게 한 모의연습을 내 딸은 2번밖에 못했다”며 분통을 터뜨렸다. 남서부 앵 지역의 페르네볼테르 국제고교는 아예 1년 내내 프랑스어 교사가 없었다. 학교는 온라인으로 수업 시수를 때웠다. 학부모들이 관할 교육청에 여러 번 신고했지만 소용이 없었다.</p><p>프랑스에서는 바칼로레아(고교 졸업 시험)에서 일정 이상 점수를 얻으면 누구나 대학에 진학할 수 있다. 평등하게 교육 기회를 누려야 한다는 취지다. 그런데 정작 학교에 교사가 없어 바칼로레아를 제대로 준비하지 못하는 학생이 허다하다. 예산이 부족해 교사를 제대로 충원하지 못하기 때문이다. </p>","프랑스 북서부 도시 캉에서 고교에 다니는 리디 비주아른씨의 딸은 올해 독학으로 프랑스어 시험을 준비해야 했다. 담당 교사가 지난해 11월 휴직했는데, 계약직 교사가 2월 말에야 부임했기 때문이다. 비주아른씨는 일간 르몽드에 “다른 학생들이 10번 넘게 한 모의연습을 내 딸은 2번밖에 못했다”며 분통을 터뜨렸다. 남서부 앵 지역의 페르네볼테르 국제고교는 아예 1년 내내 프랑스어 교사가 없었다. 학교는 온라인으로 수업 시수를 때웠다. 학부모들이 관할 교육청에 여러 번 신고했지만 소용이 없었다.",https://www.chosun.com/resizer/v2/JKOOVHX5CNGIDLNPJSQYWNDKLY.jpg?auth=e3bffee26990fd83e5e8476fee78051f3dc246c9f098e11d303826dbce783832&smart=true&width=480&height=271,,https://www.chosun.com/opinion/specialist_column/2025/12/03/YHME4NMH4RGOFDVL7JMN7JYI6I/
"박찬호 이어 최형우까지 이탈…KIA, 공격력 약화 어쩌나",https://www.chosun.com/sports/baseball/2025/12/04/G4ILXV74FRCL7OP3STXUJUP5NM/,"Thu, 04 Dec 2025 00:56:52 +0000",,뉴시스,,"<img src=""https://www.chosun.com/resizer/v2/MUJHSDNXWBGRG252S222KGVT2Y.jpg?auth=d251102fb496fe8474ef20aaad4813d2d2e38e7748bff9c8120afbad43daba77&smart=true&width=719&height=479"" alt=""최형우"" height=""479"" width=""719""/><p>프로야구 KIA 타이거즈가 리그 최정상급 유격수 박찬호에 이어 장타 생산력을 갖춘 최형우를 붙잡는 데도 실패했다. 두 명의 주축 선수와 결별한 KIA는 공격력 약화가 불가피해졌다.</p>",프로야구 KIA 타이거즈가 리그 최정상급 유격수 박찬호에 이어 장타 생산력을 갖춘 최형우를 붙잡는 데도 실패했다. 두 명의 주축 선수와 결별한 KIA는 공격력 약화가 불가피해졌다.,https://www.chosun.com/resizer/v2/UAT5UQ5E4NAG5NBSFPVIN7LADQ.JPG?auth=48b027dec3d803ad36ee8f74cd0f40ff3df7b799a04760f1b364732bf81f2316&smart=true&width=1070&height=802,,https://www.chosun.com/sports/baseball/2025/12/04/G4ILXV74FRCL7OP3STXUJUP5NM/
경기지사 민주 김동연 35.0% 추미애 15.0%… 국힘 유승민 26.8% 한동훈 15.5%,https://www.chosun.com/politics/opinion-poll/2025/12/04/CKOJ3WEXEBC2RJ6MEA36IP45YI/,"Wed, 03 Dec 2025 23:37:45 +0000",,김경필 기자,,"<p>내년 6·3 지방선거 경기지사 후보 적합도 여론조사에서 더불어민주당 후보로는 김동연 경기지사가 35.0%로 1위, 추미애 의원이 15.0%로 2위를 차지한 것으로 나타났다. 국민의힘 후보로는 유승민 전 의원이 26.8%로 1위, 한동훈 전 국민의힘 대표가 15.5%로 2위였다.</p><p>경기일보가 여론조사 업체 조원씨앤아이·글로벌리서치에 의뢰해 지난달 29~30일 경기도에 사는 18세 이상 1000명을 대상으로 한 조사 결과에 따르면, 민주당 후보 적합도 조사에서는 김 지사가 35.0%, 추 의원이 15.0%, 한준호 의원이 9.2%를 받았다. 이어서 김용민 의원 6.3%, 김병주 의원 6.3%, 강득구 의원 1.5%, 그 밖의 후보 0.4%였다. 적합한 후보가 없다거나 잘 모르겠다는 응답자는 26.3%였다.</p>","내년 6·3 지방선거 경기지사 후보 적합도 여론조사에서 더불어민주당 후보로는 김동연 경기지사가 35.0%로 1위, 추미애 의원이 15.0%로 2위를 차지한 것으로 나타났다. 국민의힘 후보로는 유승민 전 의원이 26.8%로 1위, 한동훈 전 국민의힘 대표가 15.5%로 2위였다.",https://www.chosun.com/resizer/v2/GFRGGYJVHFRDGNRWG5RTQNRVMI.jpg?auth=fd62b9205996cc1e8a3621ae44810cab1ce8b0f5d9890fe46a084f7c4a6f751d&smart=true&width=4217&height=2812,,https://www.chosun.com/politics/opinion-poll/2025/12/04/CKOJ3WEXEBC2RJ6MEA36IP45YI/
"LS일렉트릭, 부산사업장 제2생산동 준공",https://www.chosun.com/economy/tech_it/2025/12/04/VVWO7IFQNFHUDM2KR27NTPHVSM/,"Wed, 03 Dec 2025 23:00:00 +0000",,박지민 기자,,"<img src=""https://www.chosun.com/resizer/v2/UGGO3TZRQBHWZEYG5PCX3HWYDA.jpg?auth=02801a411359c4c78f3ba59e274affce418b474240a6e2d699f9cc8625479999&smart=true&width=2112&height=1582"" alt=""LS일렉트릭 부산 사업장 제2 생산동 전경. /LS일렉트릭"" height=""1582"" width=""2112""/><p>LS일렉트릭은 부산 사업장 초고압 변압기 제2 생산동을 준공하고, 북미를 중심으로 글로벌 초고압 변압기 시장 공략을 가속화한다고 4일 밝혔다. </p>","LS일렉트릭은 부산 사업장 초고압 변압기 제2 생산동을 준공하고, 북미를 중심으로 글로벌 초고압 변압기 시장 공략을 가속화한다고 4일 밝혔다.",,,https://www.chosun.com/economy/tech_it/2025/12/04/VVWO7IFQNFHUDM2KR27NTPHVSM/
브라질서 ‘한국 오빠와 데이트’ 사이트...한류 여성 팬 성착취 의혹,https://www.chosun.com/international/international_general/2025/12/04/SMPSQQ6KIBEGLGBXQ7JSR4L6QY/,"Thu, 04 Dec 2025 00:55:33 +0000",,정아임 기자,,"<img src=""https://www.chosun.com/resizer/v2/PILVY2OJ6BDHJJJHSZJWKEEWMI.png?auth=7f8474b5163bd7155400d271c2aab4304e0ef4ab2b37d90b2d8d50f819de20ea&smart=true&width=1200&height=627"" alt=""‘한국 남성과의 만남을 주선한다’는 브라질 웹사이트 화면./홈페이지 캡처"" height=""627"" width=""1200""/><p>브라질에서 한류 여성 팬을 노린 성 착취 범죄와 관련된 것으로 의심되는 유료 만남 사이트가 발견돼 현지 경찰이 수사에 착수했다.</p>",브라질에서 한류 여성 팬을 노린 성 착취 범죄와 관련된 것으로 의심되는 유료 만남 사이트가 발견돼 현지 경찰이 수사에 착수했다.,,,https://www.chosun.com/international/international_general/2025/12/04/SMPSQQ6KIBEGLGBXQ7JSR4L6QY/
