title,link,pub_date,category,creator,description,content_html,image,comments,guid
김남국 ‘현지누나’ 찾은 청탁... 알고 보니 ‘연봉 2억 회장’ 자리,https://www.chosun.com/economy/industry-company/2025/12/03/3H7ED2VJFZH4DPFQVODQP6QDOE/,"Wed, 03 Dec 2025 02:58:25 +0000",경제,조재현 기자,,"<img src=""https://www.chosun.com/resizer/v2/M2G74Q32RFDV7IQWQZAFPA3ZIU.jpg?auth=8ece814650e8b68247e79f4477a02e11303ba8e7e03f01c85f06e28a3ef59495&smart=true&width=1082&height=609"" alt=""문진석 더불어민주당 원내운영수석부대표가 2일 서울 여의도 국회에서 열린 본회의에서 김남국 대통령비서실 국민디지털소통비서관에게 문자를 보내고 있다. 문자에는 홍성범 한국자동차산업협회(KAMA) 전 상무를 회장으로 추천해 달라는 내용이 담겼다. 문 수석은 ‘내가 추천하면 강훈식 실장이 반대할거니까 아우가 추천좀 해줘봐’ 라고 전달했다. /뉴스핌 제공"" height=""609"" width=""1082""/><img src=""https://www.chosun.com/resizer/v2/5Z2VZBCIORBVBDDB6WGTQOOTOA.jpg?auth=5a68367bfe671dcbcc6458fdfae83df22d92c539958a10109bf0d3dee516ec61&smart=true&width=917&height=516"" alt=""문진석 더불어민주당 원내운영수석부대표가 2일 서울 여의도 국회에서 열린 본회의에서 김남국 대통령비서실 국민디지털소통비서관에게 문자를 보내고 있다. 문자에는 홍성범 한국자동차산업협회 상무를 회장으로 추천해 달라는 내용이 담겼다. 문 수석은 ‘내가 추천하면 강훈식 실장이 반대할거니까 아우가 추천좀 해줘봐’ 라고 전달했다. /뉴스핌 제공"" height=""516"" width=""917""/>",https://www.chosun.com/resizer/v2/7GRQ6XW3IZGIDEISP6THFSYOTQ.jpg?auth=68c9902c6ad95bfd89d1451fab267cfd91e6ab95caaa06471cf3e5539ed79534&smart=true&width=479&height=270,,https://www.chosun.com/economy/industry-company/2025/12/03/3H7ED2VJFZH4DPFQVODQP6QDOE/
“쿠팡 김범석 고발 검토”... 피해 보상안 나올까?,https://www.chosun.com/economy/market_trend/2025/12/03/SBFXXSCZLZDTVJTYYY7F7KK43Y/,"Wed, 03 Dec 2025 08:24:21 +0000",경제,이미지 기자,,"<p>고객 3370만명의 개인정보를 유출시킨 쿠팡 창업자이자 실소유주인 김범석 쿠팡Inc 의장에 대한 고발이 검토될 예정이다. 사실상 전 국민의 개인정보가 유출된 상황에서 책임을 회피하는 김 의장에 대한 비판의 목소리가 높아지고 있는 것이다. 쿠팡 측은 “피해 고객 보상안을 검토하겠다”는 입장을 밝혔다.</p><img src=""https://www.chosun.com/resizer/v2/BBXUEOOY2JJMRBWPMZSFE7ZX5A.jpg?auth=6b6bed0bee1e0926748917bfb0836674f538446fef1e4ff8d131026efaad74db&smart=true&width=6000&height=4000"" alt="" 박대준 쿠팡 대표이사가 3일 서울 여의도 국회에서 열린 정무위원회의 쿠팡 개인정보 유출 관련 현안질의에서 의원 질의를 듣고 있다./뉴시스"" height=""4000"" width=""6000""/>",,,https://www.chosun.com/economy/market_trend/2025/12/03/SBFXXSCZLZDTVJTYYY7F7KK43Y/
[단독] 을지트윈타워 서관 6570억원에 팔린다…퍼시픽자산운용 우협 선정,https://www.chosun.com/economy/realty/realestate_finance/2025/12/03/MQ2WCYLBMYYDGNJXGI3DSNLFMU/,"Wed, 03 Dec 2025 08:42:03 +0000",경제,김리영 기자(땅집고),"[땅집고] 케이리얼티제10호위탁관리부동산투자회사(리츠)가 보유한 서울 중구 을지로4가 랜드마크 빌딩 ‘을지트윈타워’ 서관이 6570억원에 매각될 것으로 보인다. 동관은 비씨카드가 보유하고 있다.
 
3일 업계에 따르면 케이리얼티10호 운영사인 KT투자운용은 오는 5일 임시주주총회를 열고 을지트윈타워 서관(근린생활시설 포함) 매각을 위한 우선협상대상자로 퍼시",<p><b>[땅집고]</b> 케이리얼티제10호위탁관리부동산투자회사(리츠)가 보유한 서울 중구 을지로4가 랜드마크 빌딩 ‘을지트윈타워’ 서관이 6570억원에 매각될 것으로 보인다. 동관은 비씨카드가 보유하고 있다.</p><p>3일 업계에 따르면 케이리얼티10호 운영사인 KT투자운용은 오는 5일 임시주주총회를 열고 을지트윈타워 서관(근린생활시설 포함) 매각을 위한 우선협상대상자로 퍼시픽자산운용을 선정할 것으로 알려졌다. 매각가격은 총 6570억원으로 건물 연면적 기준 평당 2512만원 선이다.</p>,https://www.chosun.com/resizer/v2/HBSWIZDGGI2DQZRTMQZWKMZWMI.jpg?auth=87da583fb06875f1de0aa4ee86e813a16e4a925e126a3b05b56bac2b1879b586&smart=true&width=600&height=426,,https://www.chosun.com/economy/realty/realestate_finance/2025/12/03/MQ2WCYLBMYYDGNJXGI3DSNLFMU/
"삼성증권, 대한민국광고대상 TV영상 부문 대상 수상",https://www.chosun.com/economy/stock-finance/2025/12/03/MM2WCMRUHE4DOYRRMNTDGNRXHA/,"Wed, 03 Dec 2025 08:41:03 +0000",경제,박지영 기자(조선비즈),"삼성증권은 3일 올해 대한민국광고대상에서 최근 20년 만에 금융사 중, TV영상부문 대상을 수상했다고 밝혔다.  삼성증권은 지난 2일 한국광고총연합회 주최로 열리는 광고제 대한민국광고대상에서 TV영상부문 대상을 받았다. 이 광고제에는 매년 약 2000여편의 작품들이 출품된다. 삼성증권은 주식, 펀드 등 다양한 상품을 한 계좌에서 운용하며 세제 혜택까지 누릴","<p>삼성증권은 3일 올해 대한민국광고대상에서 최근 20년 만에 금융사 중, TV영상부문 대상을 수상했다고 밝혔다.</p><img src=""https://www.chosun.com/resizer/v2/G4YWGZBSGIYTCMRUMYZGGZTBGM.jpg?auth=701b13dd1aec5c565c1f691ea9e6be0343cc72210bb8da654cf1a5247ef95251&smart=true&width=1442&height=949"" alt="". /삼성증권 제공"" height=""949"" width=""1442""/>",https://www.chosun.com/resizer/v2/G4YWGZBSGIYTCMRUMYZGGZTBGM.jpg?auth=701b13dd1aec5c565c1f691ea9e6be0343cc72210bb8da654cf1a5247ef95251&smart=true&width=1442&height=949,,https://www.chosun.com/economy/stock-finance/2025/12/03/MM2WCMRUHE4DOYRRMNTDGNRXHA/
"BMW, 초고성능 SAV ‘XM 레이블’ 국내 출시… 가격 2억2770만원",https://www.chosun.com/economy/industry-company/2025/12/03/HE2WEM3FGE4GGNJQG42DKYRZGI/,"Wed, 03 Dec 2025 08:38:43 +0000",경제,진상훈 기자(조선비즈),BMW코리아는 M브랜드의 초고성능 플래그십 SAV인 ‘BMW XM 레이블’을 국내에서 출시했다고 3일 전했다. SAV는 ‘스포츠 액티비티 차량(Sports Activity Vehicle)’을 뜻하는 말로 BMW가 기존 SUV(Sports Utility Vehicle)보다 역동적인 성능을 갖췄다는 의미에서 사용하고 있다.  지난 2023년 국내에 처음 출시된,"<p>BMW코리아는 M브랜드의 초고성능 플래그십 SAV인 ‘BMW XM 레이블’을 국내에서 출시했다고 3일 전했다. SAV는 ‘스포츠 액티비티 차량(Sports Activity Vehicle)’을 뜻하는 말로 BMW가 기존 SUV(Sports Utility Vehicle)보다 역동적인 성능을 갖췄다는 의미에서 사용하고 있다.</p><img src=""https://www.chosun.com/resizer/v2/MU4TIMLFG4YTSMZXG4YGKY3GGY.jpg?auth=25473db0738a18df361d6b667ba559f7214529f8636d31ff3ba2e9c67c024efb&smart=true&width=3000&height=2000"" alt=""BMW 초고성능 플래그십 SAV ‘BMW XM 레이블. /BMW 제공"" height=""2000"" width=""3000""/>",https://www.chosun.com/resizer/v2/MU4TIMLFG4YTSMZXG4YGKY3GGY.jpg?auth=25473db0738a18df361d6b667ba559f7214529f8636d31ff3ba2e9c67c024efb&smart=true&width=3000&height=2000,,https://www.chosun.com/economy/industry-company/2025/12/03/HE2WEM3FGE4GGNJQG42DKYRZGI/
"쿠팡 임원 매도 논란, 공시보니 “1년 전 결정된 계획”",https://www.chosun.com/economy/market_trend/2025/12/03/MIZWIMTEHFQTKMJUMQZGEMJZGA/,"Wed, 03 Dec 2025 08:38:16 +0000",경제,권유정 기자(조선비즈),"쿠팡이 개인정보 유출 직후 임원 두 명이 주식을 매도했다는 논란이 제기됐지만, 사실상 사태 발생 이전에 정해진 계획, 퇴사에 따른 통상적인 절차였던 것으로 나타났다. 2일(현지 시각) 미국 증권거래위원회(SEC) 공시에 따르면 거랍 아난드 쿠팡 최고재무책임자(CFO)는 지난달 10일 쿠팡Inc 주식 7만5350주를 주당 29달러에 매도했다. 총 매각 금액은","<p>쿠팡이 개인정보 유출 직후 임원 두 명이 주식을 매도했다는 논란이 제기됐지만, 사실상 사태 발생 이전에 정해진 계획, 퇴사에 따른 통상적인 절차였던 것으로 나타났다.</p><p>2일(현지 시각) 미국 증권거래위원회(SEC) 공시에 따르면 거랍 아난드 쿠팡 최고재무책임자(CFO)는 지난달 10일 쿠팡Inc 주식 7만5350주를 주당 29달러에 매도했다. 총 매각 금액은 약 219만달러(약 32억원)이다.</p>",https://www.chosun.com/resizer/v2/MQ3TEOJTMU3WMYJYGAZDOYZTG4.jpg?auth=c45d4d2b34f163ac2ea5f0b3839f70ad5bdb8441a9b6ef187a9723f8eef84605&smart=true&width=3893&height=2596,,https://www.chosun.com/economy/market_trend/2025/12/03/MIZWIMTEHFQTKMJUMQZGEMJZGA/
"서울 3대 설렁탕 이남장, 2인분 같은 1인분에 7400원",https://www.chosun.com/economy/startup_story/2025/12/03/TZWSN3DJIRDI3BQBBDD2UAB5DE/,"Wed, 03 Dec 2025 08:35:33 +0000",경제,"박유연 기자, 이영지 더비비드 기자",,"<p><i>조선몰은 국내 제조·유통기업의 판로를 돕고, 독자 혜택을 위해 정산·교환·반품·AS 걱정이 없는 우수 제품을 단독 최저가로 소개합니다. 본 기사는 광고성 내용을 담고 있습니다.</i></p><img src=""https://www.chosun.com/resizer/v2/BFC3X2Z45ZFZ5PIRE5TEI7QY6M.png?auth=d7277ebc4b68e417eefbb4bdb6ce7a3554f8dddbce806e838b39c0d939d47895&smart=true&width=1598&height=1135"" alt="""" height=""1135"" width=""1598""/>",https://www.chosun.com/resizer/v2/BFC3X2Z45ZFZ5PIRE5TEI7QY6M.png?auth=d7277ebc4b68e417eefbb4bdb6ce7a3554f8dddbce806e838b39c0d939d47895&smart=true&width=1598&height=1135,,https://www.chosun.com/economy/startup_story/2025/12/03/TZWSN3DJIRDI3BQBBDD2UAB5DE/
스타링크 4일부터 한국에서도 위성 통신 서비스 시작...월 8만7000원,https://www.chosun.com/economy/tech_it/2025/12/03/MDWHTO4A6ZFFTIAPK2QPUXL5WQ/,"Wed, 03 Dec 2025 08:21:42 +0000",경제,김강한 기자,,"<img src=""https://www.chosun.com/resizer/v2/MI3GKOBYMVSDANZQGAYDOYJRMM.jpg?auth=c821612a0579537c624c3c6eff1d2857721462193f3b961fed7f175e220c6eb3&smart=true&width=1200&height=565"" alt=""스타링크 홈페이지./스타링크 홈페이지 제공"" height=""565"" width=""1200""/><p>미국 스페이스X가 운영하는 저궤도 위성 통신 서비스 ‘스타링크’를 국내에서도 사용할 수 있다.</p>",,,https://www.chosun.com/economy/tech_it/2025/12/03/MDWHTO4A6ZFFTIAPK2QPUXL5WQ/
"동원F&B, 한식 HMR 新 캠페인 진행… 브랜드 정체성 강화",https://www.chosun.com/economy/market_trend/2025/12/03/G5SWGMLCGA2TOYTDGNRDEOJVGA/,"Wed, 03 Dec 2025 08:30:32 +0000",경제,민영빈 기자(조선비즈), 동원F&amp;B는 한식 가정간편식(HMR) 전문 브랜드 ‘양반’의 통합 브랜드 캠페인을 전개한다고 3일 밝혔다. 브랜드 정체성 강화에 나선 것으로 보인다. 양반은 1986년 선보인 국내 최초 한식 HMR 브랜드다. ‘한식 맛의 오리지널’을 슬로건으로 고유의 맛과 현대적 편의를 결합해 성장해온 대표 한식 브랜드로 꼽힌다. 김·죽·떡볶이 등 250여 종의 ,"<img src=""https://www.chosun.com/resizer/v2/HAYTENJUMM2DKOJZMJTDONTEGI.jpg?auth=2e378ac8337a7880e164a343401d591362f65350ccb2b091187fa1935365c284&smart=true&width=2000&height=1948"" alt=""'요즘 양반, 요즘 한식' 브랜드 캠페인 이미지. /동원F&B 제공"" height=""1948"" width=""2000""/><p>동원F&amp;B는 한식 가정간편식(HMR) 전문 브랜드 ‘양반’의 통합 브랜드 캠페인을 전개한다고 3일 밝혔다. 브랜드 정체성 강화에 나선 것으로 보인다.</p>",https://www.chosun.com/resizer/v2/HAYTENJUMM2DKOJZMJTDONTEGI.jpg?auth=2e378ac8337a7880e164a343401d591362f65350ccb2b091187fa1935365c284&smart=true&width=2000&height=1948,,https://www.chosun.com/economy/market_trend/2025/12/03/G5SWGMLCGA2TOYTDGNRDEOJVGA/
"글랜우드PE, 무바달라와 LG화학 수처리사업 인수 완료 ",https://www.chosun.com/economy/stock-finance/2025/12/03/MNRTAZRWGY4DMOBQGMYTEZRZHA/,"Wed, 03 Dec 2025 08:24:47 +0000",경제,오귀환 기자(조선비즈),국내 사모펀드(PEF) 운용사 글랜우드프라이빗에쿼티는 아랍에미리트(UAE) 아부다비 국부펀드 무바달라와 공동 투자한 LG화학 워터솔루션 사업 인수를 마무리했다고 3일 밝혔다.  글랜우드PE와 무바달라가 인수한 대상은 2014년 LG화학의 사업부로 출범한 수처리 필터 사업이다. 이번에 독립 법인으로 출범하며 간판을 나노H2O로 달았다. 거래대금은 1조4000,"<p>국내 사모펀드(PEF) 운용사 글랜우드프라이빗에쿼티는 아랍에미리트(UAE) 아부다비 국부펀드 무바달라와 공동 투자한 LG화학 워터솔루션 사업 인수를 마무리했다고 3일 밝혔다.</p><img src=""https://www.chosun.com/resizer/v2/GA2TEOLEMQ3TGZJTMFTGGYRQGM.jpg?auth=a2b5caed259c9523d4a24e0b2f05d3ca61e5121353d7e5a79767086016242b54&smart=true&width=860&height=330"" alt="""" height=""330"" width=""860""/>",https://www.chosun.com/resizer/v2/GA2TEOLEMQ3TGZJTMFTGGYRQGM.jpg?auth=a2b5caed259c9523d4a24e0b2f05d3ca61e5121353d7e5a79767086016242b54&smart=true&width=860&height=330,,https://www.chosun.com/economy/stock-finance/2025/12/03/MNRTAZRWGY4DMOBQGMYTEZRZHA/
